learning_ease_score,instructiveness_score,cognitive_load_score,example_quality_score,scaffolding_score,bloom_taxonomy_level,explanation_quality,code_id
9,7,5,7,7,Evaluate (Değerlendirme) - Seviye 5,7,152
10,7,1,6,8,Evaluate (Değerlendirme) - Seviye 5,8,153
5,6,1,8,7,Evaluate (Değerlendirme) - Seviye 5,7,154
8,8,4,9,8,Evaluate (Değerlendirme) - Seviye 5,8,155
5,10,5,7,7,Evaluate (Değerlendirme) - Seviye 5,6,156
5,5,3,6,8,Apply (Uygulama) - Seviye 3,8,157
8,9,5,9,8,Apply (Uygulama) - Seviye 3,8,158
7,8,5,8,8,Apply (Uygulama) - Seviye 3,7,159
7,10,3,7,6,Apply (Uygulama) - Seviye 3,8,160
6,6,4,9,9,Apply (Uygulama) - Seviye 3,8,161
10,10,4,7,7,Apply (Uygulama) - Seviye 3,6,162
4,8,5,9,7,Apply (Uygulama) - Seviye 3,9,163
4,7,5,7,9,Apply (Uygulama) - Seviye 3,8,164
7,6,5,7,7,Apply (Uygulama) - Seviye 3,7,165
9,6,4,6,8,Apply (Uygulama) - Seviye 3,8,166
5,7,6,6,6,Apply (Uygulama) - Seviye 3,8,167
2,9,1,7,7,Apply (Uygulama) - Seviye 3,6,168
7,7,4,7,8,Understand (Anlama) - Seviye 2,8,169
6,4,3,9,8,Understand (Anlama) - Seviye 2,7,170
6,6,7,8,6,Understand (Anlama) - Seviye 2,8,171
7,6,3,6,8,Understand (Anlama) - Seviye 2,8,172
7,8,4,8,6,Understand (Anlama) - Seviye 2,6,173
7,9,1,6,6,Understand (Anlama) - Seviye 2,7,174
5,6,7,8,8,Understand (Anlama) - Seviye 2,6,175
7,7,4,8,7,Understand (Anlama) - Seviye 2,7,176
8,9,6,7,7,Understand (Anlama) - Seviye 2,7,177
5,7,2,8,8,Understand (Anlama) - Seviye 2,7,178
7,10,4,7,8,Understand (Anlama) - Seviye 2,8,179
5,8,5,7,7,Understand (Anlama) - Seviye 2,6,180
7,5,1,7,7,Analyze (Analiz) - Seviye 4,6,181
3,6,2,8,8,Analyze (Analiz) - Seviye 4,9,182
10,9,3,7,7,Analyze (Analiz) - Seviye 4,8,183
4,9,8,8,7,Analyze (Analiz) - Seviye 4,7,184
8,8,4,8,7,Analyze (Analiz) - Seviye 4,7,185
6,4,4,6,6,Analyze (Analiz) - Seviye 4,6,186
4,5,5,8,8,Apply (Uygulama) - Seviye 3,6,187
5,7,2,7,7,Apply (Uygulama) - Seviye 3,8,188
7,7,5,6,8,Apply (Uygulama) - Seviye 3,6,189
6,7,5,6,7,Apply (Uygulama) - Seviye 3,8,190
5,4,6,7,7,Apply (Uygulama) - Seviye 3,6,191
8,6,6,8,7,Apply (Uygulama) - Seviye 3,8,192
7,8,4,9,8,Understand (Anlama) - Seviye 2,7,193
6,9,7,7,9,Understand (Anlama) - Seviye 2,9,194
10,5,6,6,7,Understand (Anlama) - Seviye 2,7,195
9,6,3,8,8,Understand (Anlama) - Seviye 2,8,196
5,7,2,7,7,Understand (Anlama) - Seviye 2,8,197
8,3,4,7,8,Understand (Anlama) - Seviye 2,7,198
7,8,4,6,7,Apply (Uygulama) - Seviye 3,8,199
4,7,2,7,6,Apply (Uygulama) - Seviye 3,6,200
8,5,3,7,8,Apply (Uygulama) - Seviye 3,8,201
7,7,3,8,7,Apply (Uygulama) - Seviye 3,8,202
8,5,2,6,7,Apply (Uygulama) - Seviye 3,6,203
3,7,8,7,6,Apply (Uygulama) - Seviye 3,8,204
6,7,4,9,8,Apply (Uygulama) - Seviye 3,7,205
5,8,2,8,7,Apply (Uygulama) - Seviye 3,7,206
7,7,5,6,7,Apply (Uygulama) - Seviye 3,6,207
4,5,3,6,7,Apply (Uygulama) - Seviye 3,7,208
8,7,4,8,8,Apply (Uygulama) - Seviye 3,8,209
6,5,5,7,8,Apply (Uygulama) - Seviye 3,9,210
6,6,3,6,8,Analyze (Analiz) - Seviye 4,6,211
7,8,6,8,6,Analyze (Analiz) - Seviye 4,6,212
8,4,3,8,9,Analyze (Analiz) - Seviye 4,9,213
8,6,1,9,8,Analyze (Analiz) - Seviye 4,9,214
7,7,5,8,7,Analyze (Analiz) - Seviye 4,8,215
6,7,2,8,7,Analyze (Analiz) - Seviye 4,6,216
4,9,3,8,7,Analyze (Analiz) - Seviye 4,6,217
10,8,3,6,6,Analyze (Analiz) - Seviye 4,8,218
7,9,6,7,7,Analyze (Analiz) - Seviye 4,8,219
5,10,4,7,8,Analyze (Analiz) - Seviye 4,6,220
5,9,3,8,9,Analyze (Analiz) - Seviye 4,7,221
8,9,2,8,6,Analyze (Analiz) - Seviye 4,8,222
8,8,7,8,8,Understand (Anlama) - Seviye 2,7,223
7,10,5,8,6,Understand (Anlama) - Seviye 2,8,224
5,5,1,7,6,Understand (Anlama) - Seviye 2,7,225
6,7,5,7,9,Understand (Anlama) - Seviye 2,9,226
7,6,6,6,7,Understand (Anlama) - Seviye 2,8,227
9,7,2,7,8,Understand (Anlama) - Seviye 2,7,228
7,7,6,9,7,Apply (Uygulama) - Seviye 3,8,229
4,8,4,8,8,Apply (Uygulama) - Seviye 3,7,230
5,6,2,8,6,Apply (Uygulama) - Seviye 3,6,231
7,5,4,7,7,Apply (Uygulama) - Seviye 3,7,232
7,5,5,8,8,Apply (Uygulama) - Seviye 3,8,233
6,8,3,6,7,Apply (Uygulama) - Seviye 3,8,234
4,4,6,6,8,Apply (Uygulama) - Seviye 3,8,235
7,10,7,7,7,Apply (Uygulama) - Seviye 3,8,236
8,8,3,8,8,Apply (Uygulama) - Seviye 3,9,237
6,8,5,8,7,Apply (Uygulama) - Seviye 3,6,238
6,6,1,8,6,Apply (Uygulama) - Seviye 3,8,239
8,5,7,8,7,Apply (Uygulama) - Seviye 3,6,240
8,10,6,7,6,Apply (Uygulama) - Seviye 3,6,241
4,7,3,6,7,Apply (Uygulama) - Seviye 3,8,242
6,5,1,8,8,Apply (Uygulama) - Seviye 3,6,243
6,6,4,6,6,Apply (Uygulama) - Seviye 3,7,244
9,7,3,6,8,Apply (Uygulama) - Seviye 3,8,245
7,8,2,9,8,Apply (Uygulama) - Seviye 3,9,246
8,8,3,8,9,Analyze (Analiz) - Seviye 4,8,247
6,8,2,7,6,Analyze (Analiz) - Seviye 4,8,248
7,4,6,6,6,Analyze (Analiz) - Seviye 4,6,249
9,5,4,7,7,Analyze (Analiz) - Seviye 4,8,250
6,5,4,7,6,Analyze (Analiz) - Seviye 4,7,251
8,3,2,6,8,Analyze (Analiz) - Seviye 4,7,252
9,6,2,6,6,Evaluate (Değerlendirme) - Seviye 5,7,253
9,7,3,7,7,Evaluate (Değerlendirme) - Seviye 5,8,254
6,6,9,6,8,Evaluate (Değerlendirme) - Seviye 5,6,255
9,7,1,6,8,Evaluate (Değerlendirme) - Seviye 5,8,256
8,6,6,7,8,Evaluate (Değerlendirme) - Seviye 5,8,257
5,6,5,8,7,Evaluate (Değerlendirme) - Seviye 5,8,258
5,7,6,9,9,Apply (Uygulama) - Seviye 3,9,259
7,6,5,7,6,Apply (Uygulama) - Seviye 3,7,260
7,7,3,8,7,Apply (Uygulama) - Seviye 3,7,261
9,5,6,7,8,Apply (Uygulama) - Seviye 3,7,262
6,9,4,8,8,Apply (Uygulama) - Seviye 3,7,263
8,6,3,7,8,Apply (Uygulama) - Seviye 3,7,264
9,9,3,8,8,Apply (Uygulama) - Seviye 3,6,265
7,5,6,9,7,Apply (Uygulama) - Seviye 3,8,266
6,8,3,6,6,Apply (Uygulama) - Seviye 3,6,267
10,5,3,8,8,Apply (Uygulama) - Seviye 3,8,268
7,8,5,7,6,Apply (Uygulama) - Seviye 3,7,269
10,7,2,6,6,Apply (Uygulama) - Seviye 3,8,270
6,7,4,6,8,Understand (Anlama) - Seviye 2,7,271
6,8,5,8,8,Understand (Anlama) - Seviye 2,8,272
8,7,7,6,7,Understand (Anlama) - Seviye 2,7,273
6,8,1,6,7,Understand (Anlama) - Seviye 2,8,274
10,7,3,7,9,Understand (Anlama) - Seviye 2,7,275
7,9,5,8,6,Understand (Anlama) - Seviye 2,7,276
3,8,6,8,7,Apply (Uygulama) - Seviye 3,8,277
9,10,5,6,8,Apply (Uygulama) - Seviye 3,7,278
5,10,3,6,6,Apply (Uygulama) - Seviye 3,7,279
9,6,4,6,8,Apply (Uygulama) - Seviye 3,6,280
7,6,3,6,7,Apply (Uygulama) - Seviye 3,7,281
8,7,1,9,9,Apply (Uygulama) - Seviye 3,7,282
7,7,5,8,7,Apply (Uygulama) - Seviye 3,8,283
5,9,4,6,6,Apply (Uygulama) - Seviye 3,6,284
4,4,1,9,7,Apply (Uygulama) - Seviye 3,8,285
8,6,4,6,6,Apply (Uygulama) - Seviye 3,7,286
5,3,3,6,7,Apply (Uygulama) - Seviye 3,7,287
7,6,3,7,8,Apply (Uygulama) - Seviye 3,7,288
7,8,4,8,7,Apply (Uygulama) - Seviye 3,6,289
7,5,4,8,7,Apply (Uygulama) - Seviye 3,8,290
3,6,4,9,7,Apply (Uygulama) - Seviye 3,8,291
5,9,4,6,8,Apply (Uygulama) - Seviye 3,7,292
8,9,3,8,8,Apply (Uygulama) - Seviye 3,8,293
7,7,5,7,7,Apply (Uygulama) - Seviye 3,7,294
9,5,3,9,9,Apply (Uygulama) - Seviye 3,8,295
8,9,6,7,6,Apply (Uygulama) - Seviye 3,6,296
5,9,6,7,6,Apply (Uygulama) - Seviye 3,8,297
7,5,4,9,7,Apply (Uygulama) - Seviye 3,8,298
7,6,4,6,7,Apply (Uygulama) - Seviye 3,6,299
9,8,3,7,6,Apply (Uygulama) - Seviye 3,7,300
7,4,2,7,7,Apply (Uygulama) - Seviye 3,9,301
10,8,5,8,7,Apply (Uygulama) - Seviye 3,7,302
6,6,3,7,7,Apply (Uygulama) - Seviye 3,7,303
7,10,2,8,6,Apply (Uygulama) - Seviye 3,7,304
10,5,4,6,6,Apply (Uygulama) - Seviye 3,8,305
4,7,4,6,8,Apply (Uygulama) - Seviye 3,8,306
6,8,3,8,7,Evaluate (Değerlendirme) - Seviye 5,7,307
7,4,6,7,8,Evaluate (Değerlendirme) - Seviye 5,6,308
9,3,9,6,6,Evaluate (Değerlendirme) - Seviye 5,8,309
7,8,5,8,9,Evaluate (Değerlendirme) - Seviye 5,8,310
6,6,6,8,7,Evaluate (Değerlendirme) - Seviye 5,7,311
7,7,3,7,8,Evaluate (Değerlendirme) - Seviye 5,8,312
4,6,5,7,6,Apply (Uygulama) - Seviye 3,7,313
7,6,4,6,8,Apply (Uygulama) - Seviye 3,7,314
8,7,5,7,8,Apply (Uygulama) - Seviye 3,9,315
5,6,3,7,8,Apply (Uygulama) - Seviye 3,8,316
7,7,2,8,8,Apply (Uygulama) - Seviye 3,7,317
5,5,2,8,6,Apply (Uygulama) - Seviye 3,8,318
4,7,4,8,8,Evaluate (Değerlendirme) - Seviye 5,6,319
7,10,6,6,8,Evaluate (Değerlendirme) - Seviye 5,7,320
5,8,5,6,7,Evaluate (Değerlendirme) - Seviye 5,6,321
6,7,1,6,6,Evaluate (Değerlendirme) - Seviye 5,7,322
7,5,5,7,7,Evaluate (Değerlendirme) - Seviye 5,7,323
7,8,2,6,6,Evaluate (Değerlendirme) - Seviye 5,6,324
8,7,4,7,6,Apply (Uygulama) - Seviye 3,7,325
6,7,3,6,7,Apply (Uygulama) - Seviye 3,7,326
8,9,6,8,8,Apply (Uygulama) - Seviye 3,6,327
6,8,6,7,7,Apply (Uygulama) - Seviye 3,7,328
8,4,1,7,7,Apply (Uygulama) - Seviye 3,8,329
6,6,6,8,6,Apply (Uygulama) - Seviye 3,6,330
6,8,2,7,7,Analyze (Analiz) - Seviye 4,8,331
5,5,6,6,7,Analyze (Analiz) - Seviye 4,6,332
8,6,5,7,6,Analyze (Analiz) - Seviye 4,7,333
5,8,3,9,9,Analyze (Analiz) - Seviye 4,7,334
6,10,5,8,6,Analyze (Analiz) - Seviye 4,8,335
8,5,5,7,7,Analyze (Analiz) - Seviye 4,8,336
8,6,3,8,6,Apply (Uygulama) - Seviye 3,6,337
4,7,4,8,8,Apply (Uygulama) - Seviye 3,9,338
9,4,2,7,7,Apply (Uygulama) - Seviye 3,7,339
9,7,4,7,8,Apply (Uygulama) - Seviye 3,7,340
6,9,5,8,9,Apply (Uygulama) - Seviye 3,8,341
9,10,2,7,6,Apply (Uygulama) - Seviye 3,6,342
6,6,4,8,8,Apply (Uygulama) - Seviye 3,7,343
7,10,4,8,8,Apply (Uygulama) - Seviye 3,6,344
9,3,6,7,7,Apply (Uygulama) - Seviye 3,7,345
8,4,4,8,6,Apply (Uygulama) - Seviye 3,7,346
5,8,4,9,7,Apply (Uygulama) - Seviye 3,7,347
6,8,2,6,8,Apply (Uygulama) - Seviye 3,8,348
7,5,5,9,7,Apply (Uygulama) - Seviye 3,9,349
7,6,4,7,8,Apply (Uygulama) - Seviye 3,7,350
5,8,3,7,8,Apply (Uygulama) - Seviye 3,8,351
6,3,5,8,7,Apply (Uygulama) - Seviye 3,9,352
8,5,5,7,8,Apply (Uygulama) - Seviye 3,7,353
8,7,5,7,7,Apply (Uygulama) - Seviye 3,8,354
4,6,5,8,8,Create (Yaratma) - Seviye 6,8,355
7,5,4,5,6,Create (Yaratma) - Seviye 6,5,356
7,8,4,6,7,Create (Yaratma) - Seviye 6,7,357
9,4,4,5,7,Create (Yaratma) - Seviye 6,6,358
6,6,4,7,6,Create (Yaratma) - Seviye 6,7,359
5,8,4,6,6,Create (Yaratma) - Seviye 6,6,360
7,8,3,7,5,Create (Yaratma) - Seviye 6,7,361
8,7,2,7,6,Create (Yaratma) - Seviye 6,7,362
9,8,1,7,5,Create (Yaratma) - Seviye 6,5,363
7,10,9,5,5,Create (Yaratma) - Seviye 6,7,364
8,6,7,6,6,Create (Yaratma) - Seviye 6,7,365
7,8,3,7,6,Create (Yaratma) - Seviye 6,7,366
9,7,5,6,8,Create (Yaratma) - Seviye 6,8,367
8,6,4,7,7,Create (Yaratma) - Seviye 6,6,368
8,8,4,8,7,Create (Yaratma) - Seviye 6,6,369
7,8,3,5,7,Create (Yaratma) - Seviye 6,5,370
5,8,3,7,7,Create (Yaratma) - Seviye 6,5,371
4,9,4,5,7,Create (Yaratma) - Seviye 6,7,372
4,4,5,8,6,Apply (Uygulama) - Seviye 3,7,373
4,5,6,6,8,Apply (Uygulama) - Seviye 3,7,374
7,9,6,8,6,Apply (Uygulama) - Seviye 3,6,375
7,5,2,6,7,Apply (Uygulama) - Seviye 3,8,376
5,6,2,9,7,Apply (Uygulama) - Seviye 3,8,377
5,4,3,7,6,Apply (Uygulama) - Seviye 3,7,378
7,6,4,9,9,Understand (Anlama) - Seviye 2,9,379
9,4,5,8,8,Understand (Anlama) - Seviye 2,7,380
9,5,2,6,8,Understand (Anlama) - Seviye 2,7,381
7,8,2,8,6,Understand (Anlama) - Seviye 2,8,382
7,4,5,8,6,Understand (Anlama) - Seviye 2,6,383
6,8,2,7,7,Understand (Anlama) - Seviye 2,8,384
8,6,1,7,6,Create (Yaratma) - Seviye 6,6,385
8,6,4,6,6,Create (Yaratma) - Seviye 6,6,386
5,5,2,6,8,Create (Yaratma) - Seviye 6,6,387
9,6,4,8,8,Create (Yaratma) - Seviye 6,7,388
8,8,2,6,6,Create (Yaratma) - Seviye 6,8,389
7,8,3,6,7,Create (Yaratma) - Seviye 6,6,390
8,6,6,8,7,Evaluate (Değerlendirme) - Seviye 5,8,391
10,10,2,6,7,Evaluate (Değerlendirme) - Seviye 5,7,392
7,7,1,7,7,Evaluate (Değerlendirme) - Seviye 5,7,393
9,5,5,6,6,Evaluate (Değerlendirme) - Seviye 5,6,394
7,8,5,6,7,Evaluate (Değerlendirme) - Seviye 5,8,395
5,10,6,7,8,Evaluate (Değerlendirme) - Seviye 5,8,396
6,7,4,7,6,Evaluate (Değerlendirme) - Seviye 5,6,397
5,7,8,8,7,Evaluate (Değerlendirme) - Seviye 5,8,398
7,8,5,7,6,Evaluate (Değerlendirme) - Seviye 5,7,399
5,8,2,7,9,Evaluate (Değerlendirme) - Seviye 5,8,400
8,5,4,6,8,Evaluate (Değerlendirme) - Seviye 5,7,401
6,10,4,6,8,Evaluate (Değerlendirme) - Seviye 5,7,402
3,10,4,7,7,Evaluate (Değerlendirme) - Seviye 5,7,403
7,7,5,6,7,Evaluate (Değerlendirme) - Seviye 5,6,404
7,5,3,8,7,Evaluate (Değerlendirme) - Seviye 5,7,405
6,7,1,6,8,Evaluate (Değerlendirme) - Seviye 5,8,406
5,9,5,7,7,Evaluate (Değerlendirme) - Seviye 5,6,407
7,7,6,7,8,Evaluate (Değerlendirme) - Seviye 5,8,408
6,9,3,7,6,Understand (Anlama) - Seviye 2,6,409
3,6,4,7,7,Understand (Anlama) - Seviye 2,7,410
8,6,2,7,6,Understand (Anlama) - Seviye 2,8,411
3,8,6,6,6,Understand (Anlama) - Seviye 2,8,412
7,8,5,8,8,Understand (Anlama) - Seviye 2,7,413
9,8,5,7,9,Understand (Anlama) - Seviye 2,8,414
8,6,3,9,7,Evaluate (Değerlendirme) - Seviye 5,8,415
7,10,5,7,9,Evaluate (Değerlendirme) - Seviye 5,9,416
7,10,3,6,6,Evaluate (Değerlendirme) - Seviye 5,8,417
5,6,1,8,7,Evaluate (Değerlendirme) - Seviye 5,6,418
9,8,5,8,6,Evaluate (Değerlendirme) - Seviye 5,7,419
8,7,5,6,8,Evaluate (Değerlendirme) - Seviye 5,8,420
4,8,2,6,7,Understand (Anlama) - Seviye 2,6,421
8,7,3,7,6,Understand (Anlama) - Seviye 2,6,422
4,7,3,7,6,Understand (Anlama) - Seviye 2,7,423
8,7,4,8,6,Understand (Anlama) - Seviye 2,8,424
8,5,3,8,7,Understand (Anlama) - Seviye 2,7,425
9,9,2,8,7,Understand (Anlama) - Seviye 2,8,426
8,7,5,6,7,Create (Yaratma) - Seviye 6,7,427
