used_ai_type,other_ai_type,suitability_choice,reason,difficulty_rating,has_comparison,session_id
Complementary,Similar,Complementary,"Daha çok öğrendim, zorlayıcıydı ama faydalı",Kolay,True,57
Complementary,Similar,İkisi de uygun,Her ikisinin de avantajları vardı,Çok Kolay,True,58
Similar,Complementary,Similar,"Rahat hissettim, seviyeme uygundu",Kolay,True,59
Complementary,Similar,İkisi de uygun,Her ikisinin de avantajları vardı,Çok Kolay,True,60
Similar,Complementary,,,Zor,False,61
Similar,Complementary,Complementary,"Daha çok öğrendim, zorlayıcıydı ama faydalı",Kolay,True,62
Complementary,Similar,Complementary,"Daha çok öğrendim, zorlayıcıydı ama faydalı",Orta,True,63
Complementary,Similar,Similar,"Rahat hissettim, seviyeme uygundu",Orta,True,64
Complementary,Similar,İkisi de uygun,Her ikisinin de avantajları vardı,Çok Kolay,True,65
Similar,Complementary,Similar,"Rahat hissettim, seviyeme uygundu",Çok Kolay,True,66
Complementary,Similar,,,Zor,False,67
Complementary,Similar,Similar,"Rahat hissettim, seviyeme uygundu",Orta,True,68
Complementary,Similar,Complementary,"Daha çok öğrendim, zorlayıcıydı ama faydalı",Kolay,True,69
Similar,Complementary,Complementary,"Daha çok öğrendim, zorlayıcıydı ama faydalı",Orta,True,70
Similar,Complementary,Similar,"Rahat hissettim, seviyeme uygundu",Orta,True,71
Similar,Complementary,Similar,"Rahat hissettim, seviyeme uygundu",Kolay,True,72
Complementary,Similar,,,Kolay,False,73
Similar,Complementary,İkisi de uygun,Her ikisinin de avantajları vardı,Zor,True,74
Similar,Complementary,İkisi de uygun,Her ikisinin de avantajları vardı,Kolay,True,75
Complementary,Similar,İkisi de uygun,Her ikisinin de avantajları vardı,Zor,True,76
Complementary,Similar,İkisi de uygun,Her ikisinin de avantajları vardı,Orta,True,77
Similar,Complementary,Complementary,"Daha çok öğrendim, zorlayıcıydı ama faydalı",Çok Kolay,True,78
Similar,Complementary,,,Orta,False,79
Complementary,Similar,Similar,"Rahat hissettim, seviyeme uygundu",Orta,True,80
Complementary,Similar,Complementary,"Daha çok öğrendim, zorlayıcıydı ama faydalı",Çok Kolay,True,81
Complementary,Similar,Complementary,"Daha çok öğrendim, zorlayıcıydı ama faydalı",Orta,True,82
Similar,Complementary,Similar,"Rahat hissettim, seviyeme uygundu",Çok Kolay,True,83
Similar,Complementary,Similar,"Rahat hissettim, seviyeme uygundu",Zor,True,84
Complementary,Similar,,,Kolay,False,85
Similar,Complementary,Similar,"Rahat hissettim, seviyeme uygundu",Kolay,True,86
Similar,Complementary,Complementary,"Daha çok öğrendim, zorlayıcıydı ama faydalı",Orta,True,87
Similar,Complementary,Complementary,"Daha çok öğrendim, zorlayıcıydı ama faydalı",Orta,True,88
Complementary,Similar,İkisi de uygun,Her ikisinin de avantajları vardı,Zor,True,89
Complementary,Similar,Similar,"Rahat hissettim, seviyeme uygundu",Çok Kolay,True,90
Complementary,Similar,,,Kolay,False,91
Similar,Complementary,Similar,"Rahat hissettim, seviyeme uygundu",Çok Kolay,True,92
Similar,Complementary,İkisi de uygun,Her ikisinin de avantajları vardı,Orta,True,93
Similar,Complementary,Similar,"Rahat hissettim, seviyeme uygundu",Kolay,True,94
Complementary,Similar,Similar,"Rahat hissettim, seviyeme uygundu",Orta,True,95
Complementary,Similar,Similar,"Rahat hissettim, seviyeme uygundu",Zor,True,96
Complementary,Similar,,,Zor,False,97
Complementary,Similar,Similar,"Rahat hissettim, seviyeme uygundu",Kolay,True,98
Similar,Complementary,İkisi de uygun,Her ikisinin de avantajları vardı,Zor,True,99
Similar,Complementary,Similar,"Rahat hissettim, seviyeme uygundu",Orta,True,100
Similar,Complementary,Complementary,"Daha çok öğrendim, zorlayıcıydı ama faydalı",Zor,True,101
Complementary,Similar,Similar,"Rahat hissettim, seviyeme uygundu",Orta,True,102
Similar,Complementary,,,Zor,False,103
Complementary,Similar,Similar,"Rahat hissettim, seviyeme uygundu",Orta,True,104
Complementary,Similar,Complementary,"Daha çok öğrendim, zorlayıcıydı ama faydalı",Zor,True,105
Similar,Complementary,Complementary,"Daha çok öğrendim, zorlayıcıydı ama faydalı",Orta,True,106
Complementary,Similar,Similar,"Rahat hissettim, seviyeme uygundu",Zor,True,107
Similar,Complementary,Similar,"Rahat hissettim, seviyeme uygundu",Orta,True,108
Similar,Complementary,,,Orta,False,109
Similar,Complementary,Similar,"Rahat hissettim, seviyeme uygundu",Zor,True,110
Similar,Complementary,Similar,"Rahat hissettim, seviyeme uygundu",Kolay,True,111
Complementary,Similar,İkisi de uygun,Her ikisinin de avantajları vardı,Kolay,True,112
Complementary,Similar,İkisi de uygun,Her ikisinin de avantajları vardı,Çok Kolay,True,113
Complementary,Similar,Similar,"Rahat hissettim, seviyeme uygundu",Orta,True,114
Similar,Complementary,,,Kolay,False,115
Similar,Complementary,İkisi de uygun,Her ikisinin de avantajları vardı,Orta,True,116
Complementary,Similar,Complementary,"Daha çok öğrendim, zorlayıcıydı ama faydalı",Orta,True,117
Complementary,Similar,İkisi de uygun,Her ikisinin de avantajları vardı,Orta,True,118
Similar,Complementary,İkisi de uygun,Her ikisinin de avantajları vardı,Orta,True,119
Complementary,Similar,İkisi de uygun,Her ikisinin de avantajları vardı,Zor,True,120
Similar,Complementary,,,Zor,False,121
Complementary,Similar,Complementary,"Daha çok öğrendim, zorlayıcıydı ama faydalı",Kolay,True,122
Similar,Complementary,İkisi de uygun,Her ikisinin de avantajları vardı,Orta,True,123
Similar,Complementary,Similar,"Rahat hissettim, seviyeme uygundu",Kolay,True,124
Complementary,Similar,Complementary,"Daha çok öğrendim, zorlayıcıydı ama faydalı",Kolay,True,125
Complementary,Similar,İkisi de uygun,Her ikisinin de avantajları vardı,Çok Zor,True,126
Complementary,Similar,,,Zor,False,127
Similar,Complementary,Complementary,"Daha çok öğrendim, zorlayıcıydı ama faydalı",Orta,True,128
Similar,Complementary,Similar,"Rahat hissettim, seviyeme uygundu",Orta,True,129
Complementary,Similar,Complementary,"Daha çok öğrendim, zorlayıcıydı ama faydalı",Orta,True,130
Complementary,Similar,İkisi de uygun,Her ikisinin de avantajları vardı,Zor,True,131
Similar,Complementary,Complementary,"Daha çok öğrendim, zorlayıcıydı ama faydalı",Orta,True,132
Similar,Complementary,,,Zor,False,133
Complementary,Similar,Similar,"Rahat hissettim, seviyeme uygundu",Orta,True,134
Similar,Complementary,Complementary,"Daha çok öğrendim, zorlayıcıydı ama faydalı",Çok Kolay,True,135
Complementary,Similar,İkisi de uygun,Her ikisinin de avantajları vardı,Orta,True,136
Complementary,Similar,Similar,"Rahat hissettim, seviyeme uygundu",Orta,True,137
Similar,Complementary,Similar,"Rahat hissettim, seviyeme uygundu",Kolay,True,138
Complementary,Similar,,,Kolay,False,139
Similar,Complementary,Similar,"Rahat hissettim, seviyeme uygundu",Kolay,True,140
Complementary,Similar,İkisi de uygun,Her ikisinin de avantajları vardı,Orta,True,141
Similar,Complementary,İkisi de uygun,Her ikisinin de avantajları vardı,Kolay,True,142
Similar,Complementary,İkisi de uygun,Her ikisinin de avantajları vardı,Çok Zor,True,143
Complementary,Similar,Complementary,"Daha çok öğrendim, zorlayıcıydı ama faydalı",Çok Kolay,True,144
Complementary,Similar,,,Orta,False,145
Complementary,Similar,Complementary,"Daha çok öğrendim, zorlayıcıydı ama faydalı",Kolay,True,146
Similar,Complementary,İkisi de uygun,Her ikisinin de avantajları vardı,Orta,True,147
Similar,Complementary,Similar,"Rahat hissettim, seviyeme uygundu",Kolay,True,148
Complementary,Similar,Complementary,"Daha çok öğrendim, zorlayıcıydı ama faydalı",Kolay,True,149
Similar,Complementary,Complementary,"Daha çok öğrendim, zorlayıcıydı ama faydalı",Çok Kolay,True,150
Complementary,Similar,,,Zor,False,151
Similar,Complementary,Similar,"Rahat hissettim, seviyeme uygundu",Kolay,True,152
Complementary,Similar,Similar,"Rahat hissettim, seviyeme uygundu",Zor,True,153
Similar,Complementary,Similar,"Rahat hissettim, seviyeme uygundu",Çok Kolay,True,154
Similar,Complementary,Similar,"Rahat hissettim, seviyeme uygundu",Orta,True,155
Complementary,Similar,Complementary,"Daha çok öğrendim, zorlayıcıydı ama faydalı",Kolay,True,156
Complementary,Similar,,,Zor,False,157
Similar,Complementary,Similar,"Rahat hissettim, seviyeme uygundu",Kolay,True,158
Similar,Complementary,Similar,"Rahat hissettim, seviyeme uygundu",Kolay,True,159
Complementary,Similar,Complementary,"Daha çok öğrendim, zorlayıcıydı ama faydalı",Orta,True,160
Similar,Complementary,İkisi de uygun,Her ikisinin de avantajları vardı,Zor,True,161
Complementary,Similar,İkisi de uygun,Her ikisinin de avantajları vardı,Kolay,True,162
Similar,Complementary,,,Zor,False,163
Similar,Complementary,Complementary,"Daha çok öğrendim, zorlayıcıydı ama faydalı",Orta,True,164
Complementary,Similar,Complementary,"Daha çok öğrendim, zorlayıcıydı ama faydalı",Kolay,True,165
Similar,Complementary,İkisi de uygun,Her ikisinin de avantajları vardı,Orta,True,166
Complementary,Similar,İkisi de uygun,Her ikisinin de avantajları vardı,Çok Kolay,True,167
Complementary,Similar,Similar,"Rahat hissettim, seviyeme uygundu",Orta,True,168
Similar,Complementary,,,Zor,False,169
Similar,Complementary,Similar,"Rahat hissettim, seviyeme uygundu",Çok Kolay,True,170
Complementary,Similar,İkisi de uygun,Her ikisinin de avantajları vardı,Kolay,True,171
Complementary,Similar,Complementary,"Daha çok öğrendim, zorlayıcıydı ama faydalı",Orta,True,172
Similar,Complementary,Complementary,"Daha çok öğrendim, zorlayıcıydı ama faydalı",Kolay,True,173
Complementary,Similar,Complementary,"Daha çok öğrendim, zorlayıcıydı ama faydalı",Orta,True,174
Similar,Complementary,,,Orta,False,175
Similar,Complementary,Similar,"Rahat hissettim, seviyeme uygundu",Orta,True,176
Similar,Complementary,Complementary,"Daha çok öğrendim, zorlayıcıydı ama faydalı",Zor,True,177
Complementary,Similar,Complementary,"Daha çok öğrendim, zorlayıcıydı ama faydalı",Orta,True,178
Complementary,Similar,Similar,"Rahat hissettim, seviyeme uygundu",Çok Zor,True,179
Complementary,Similar,Complementary,"Daha çok öğrendim, zorlayıcıydı ama faydalı",Zor,True,180
Complementary,Similar,,,Kolay,False,181
Similar,Complementary,İkisi de uygun,Her ikisinin de avantajları vardı,Çok Kolay,True,182
Complementary,Similar,İkisi de uygun,Her ikisinin de avantajları vardı,Kolay,True,183
Complementary,Similar,Similar,"Rahat hissettim, seviyeme uygundu",Orta,True,184
Similar,Complementary,Complementary,"Daha çok öğrendim, zorlayıcıydı ama faydalı",Orta,True,185
Similar,Complementary,Similar,"Rahat hissettim, seviyeme uygundu",Kolay,True,186
Similar,Complementary,,,Orta,False,187
Similar,Complementary,İkisi de uygun,Her ikisinin de avantajları vardı,Kolay,True,188
Complementary,Similar,İkisi de uygun,Her ikisinin de avantajları vardı,Çok Kolay,True,189
Complementary,Similar,Complementary,"Daha çok öğrendim, zorlayıcıydı ama faydalı",Çok Kolay,True,190
Complementary,Similar,Complementary,"Daha çok öğrendim, zorlayıcıydı ama faydalı",Kolay,True,191
Similar,Complementary,Similar,"Rahat hissettim, seviyeme uygundu",Kolay,True,192
Similar,Complementary,,,Zor,False,193
Similar,Complementary,Similar,"Rahat hissettim, seviyeme uygundu",Çok Zor,True,194
Similar,Complementary,İkisi de uygun,Her ikisinin de avantajları vardı,Orta,True,195
Complementary,Similar,İkisi de uygun,Her ikisinin de avantajları vardı,Orta,True,196
Complementary,Similar,Complementary,"Daha çok öğrendim, zorlayıcıydı ama faydalı",Orta,True,197
Complementary,Similar,İkisi de uygun,Her ikisinin de avantajları vardı,Zor,True,198
Complementary,Similar,,,Kolay,False,199
Similar,Complementary,Similar,"Rahat hissettim, seviyeme uygundu",Kolay,True,200
Complementary,Similar,İkisi de uygun,Her ikisinin de avantajları vardı,Orta,True,201
Similar,Complementary,Similar,"Rahat hissettim, seviyeme uygundu",Orta,True,202
Similar,Complementary,İkisi de uygun,Her ikisinin de avantajları vardı,Zor,True,203
Complementary,Similar,Similar,"Rahat hissettim, seviyeme uygundu",Orta,True,204
Similar,Complementary,,,Orta,False,205
Complementary,Similar,Similar,"Rahat hissettim, seviyeme uygundu",Çok Kolay,True,206
Complementary,Similar,Similar,"Rahat hissettim, seviyeme uygundu",Çok Kolay,True,207
Similar,Complementary,Similar,"Rahat hissettim, seviyeme uygundu",Kolay,True,208
Complementary,Similar,İkisi de uygun,Her ikisinin de avantajları vardı,Zor,True,209
Similar,Complementary,İkisi de uygun,Her ikisinin de avantajları vardı,Orta,True,210
Complementary,Similar,,,Zor,False,211
Complementary,Similar,Similar,"Rahat hissettim, seviyeme uygundu",Orta,True,212
Similar,Complementary,Similar,"Rahat hissettim, seviyeme uygundu",Orta,True,213
Similar,Complementary,Similar,"Rahat hissettim, seviyeme uygundu",Kolay,True,214
Similar,Complementary,Similar,"Rahat hissettim, seviyeme uygundu",Orta,True,215
Complementary,Similar,Similar,"Rahat hissettim, seviyeme uygundu",Zor,True,216
Complementary,Similar,,,Zor,False,217
Complementary,Similar,Complementary,"Daha çok öğrendim, zorlayıcıydı ama faydalı",Zor,True,218
Similar,Complementary,Complementary,"Daha çok öğrendim, zorlayıcıydı ama faydalı",Zor,True,219
Complementary,Similar,Complementary,"Daha çok öğrendim, zorlayıcıydı ama faydalı",Zor,True,220
Similar,Complementary,Complementary,"Daha çok öğrendim, zorlayıcıydı ama faydalı",Orta,True,221
Similar,Complementary,Complementary,"Daha çok öğrendim, zorlayıcıydı ama faydalı",Zor,True,222
Complementary,Similar,,,Orta,False,223
Complementary,Similar,Complementary,"Daha çok öğrendim, zorlayıcıydı ama faydalı",Orta,True,224
Similar,Complementary,İkisi de uygun,Her ikisinin de avantajları vardı,Zor,True,225
Similar,Complementary,Similar,"Rahat hissettim, seviyeme uygundu",Zor,True,226
Similar,Complementary,İkisi de uygun,Her ikisinin de avantajları vardı,Orta,True,227
Complementary,Similar,Complementary,"Daha çok öğrendim, zorlayıcıydı ama faydalı",Orta,True,228
Similar,Complementary,,,Orta,False,229
Complementary,Similar,Complementary,"Daha çok öğrendim, zorlayıcıydı ama faydalı",Kolay,True,230
Complementary,Similar,Complementary,"Daha çok öğrendim, zorlayıcıydı ama faydalı",Zor,True,231
Similar,Complementary,Similar,"Rahat hissettim, seviyeme uygundu",Çok Kolay,True,232
Similar,Complementary,İkisi de uygun,Her ikisinin de avantajları vardı,Zor,True,233
Complementary,Similar,Similar,"Rahat hissettim, seviyeme uygundu",Orta,True,234
Complementary,Similar,,,Kolay,False,235
Complementary,Similar,Similar,"Rahat hissettim, seviyeme uygundu",Kolay,True,236
Similar,Complementary,Similar,"Rahat hissettim, seviyeme uygundu",Orta,True,237
Similar,Complementary,Similar,"Rahat hissettim, seviyeme uygundu",Orta,True,238
Similar,Complementary,Similar,"Rahat hissettim, seviyeme uygundu",Kolay,True,239
Complementary,Similar,İkisi de uygun,Her ikisinin de avantajları vardı,Orta,True,240
Complementary,Similar,,,Zor,False,241
Complementary,Similar,Complementary,"Daha çok öğrendim, zorlayıcıydı ama faydalı",Orta,True,242
Similar,Complementary,Similar,"Rahat hissettim, seviyeme uygundu",Kolay,True,243
Complementary,Similar,İkisi de uygun,Her ikisinin de avantajları vardı,Çok Zor,True,244
Similar,Complementary,Similar,"Rahat hissettim, seviyeme uygundu",Zor,True,245
Similar,Complementary,Similar,"Rahat hissettim, seviyeme uygundu",Kolay,True,246
Similar,Complementary,,,Kolay,False,247
Complementary,Similar,Complementary,"Daha çok öğrendim, zorlayıcıydı ama faydalı",Kolay,True,248
Similar,Complementary,Complementary,"Daha çok öğrendim, zorlayıcıydı ama faydalı",Orta,True,249
Similar,Complementary,Similar,"Rahat hissettim, seviyeme uygundu",Çok Kolay,True,250
Complementary,Similar,Similar,"Rahat hissettim, seviyeme uygundu",Orta,True,251
Complementary,Similar,Similar,"Rahat hissettim, seviyeme uygundu",Kolay,True,252
Similar,Complementary,,,Kolay,False,253
Similar,Complementary,Similar,"Rahat hissettim, seviyeme uygundu",Orta,True,254
Complementary,Similar,Complementary,"Daha çok öğrendim, zorlayıcıydı ama faydalı",Çok Kolay,True,255
Complementary,Similar,Complementary,"Daha çok öğrendim, zorlayıcıydı ama faydalı",Kolay,True,256
Similar,Complementary,İkisi de uygun,Her ikisinin de avantajları vardı,Kolay,True,257
Complementary,Similar,Complementary,"Daha çok öğrendim, zorlayıcıydı ama faydalı",Çok Kolay,True,258
Similar,Complementary,,,Orta,False,259
Complementary,Similar,Complementary,"Daha çok öğrendim, zorlayıcıydı ama faydalı",Çok Zor,True,260
Similar,Complementary,Similar,"Rahat hissettim, seviyeme uygundu",Orta,True,261
Complementary,Similar,Complementary,"Daha çok öğrendim, zorlayıcıydı ama faydalı",Zor,True,262
Similar,Complementary,Similar,"Rahat hissettim, seviyeme uygundu",Zor,True,263
Complementary,Similar,İkisi de uygun,Her ikisinin de avantajları vardı,Orta,True,264
Complementary,Similar,,,Orta,False,265
Similar,Complementary,Complementary,"Daha çok öğrendim, zorlayıcıydı ama faydalı",Çok Kolay,True,266
Complementary,Similar,Complementary,"Daha çok öğrendim, zorlayıcıydı ama faydalı",Orta,True,267
Similar,Complementary,İkisi de uygun,Her ikisinin de avantajları vardı,Kolay,True,268
Complementary,Similar,Complementary,"Daha çok öğrendim, zorlayıcıydı ama faydalı",Kolay,True,269
Similar,Complementary,Similar,"Rahat hissettim, seviyeme uygundu",Orta,True,270
Complementary,Similar,,,Orta,False,271
Similar,Complementary,Similar,"Rahat hissettim, seviyeme uygundu",Zor,True,272
Complementary,Similar,İkisi de uygun,Her ikisinin de avantajları vardı,Kolay,True,273
Similar,Complementary,Complementary,"Daha çok öğrendim, zorlayıcıydı ama faydalı",Kolay,True,274
Similar,Complementary,Similar,"Rahat hissettim, seviyeme uygundu",Orta,True,275
Complementary,Similar,Complementary,"Daha çok öğrendim, zorlayıcıydı ama faydalı",Kolay,True,276
Similar,Complementary,,,Kolay,False,277
Complementary,Similar,Similar,"Rahat hissettim, seviyeme uygundu",Kolay,True,278
Similar,Complementary,Complementary,"Daha çok öğrendim, zorlayıcıydı ama faydalı",Orta,True,279
Complementary,Similar,Complementary,"Daha çok öğrendim, zorlayıcıydı ama faydalı",Kolay,True,280
Complementary,Similar,Similar,"Rahat hissettim, seviyeme uygundu",Orta,True,281
Similar,Complementary,İkisi de uygun,Her ikisinin de avantajları vardı,Çok Kolay,True,282
Similar,Complementary,,,Zor,False,283
Similar,Complementary,İkisi de uygun,Her ikisinin de avantajları vardı,Zor,True,284
Similar,Complementary,Similar,"Rahat hissettim, seviyeme uygundu",Kolay,True,285
Complementary,Similar,Complementary,"Daha çok öğrendim, zorlayıcıydı ama faydalı",Zor,True,286
Complementary,Similar,Similar,"Rahat hissettim, seviyeme uygundu",Orta,True,287
Complementary,Similar,İkisi de uygun,Her ikisinin de avantajları vardı,Orta,True,288
Similar,Complementary,,,Kolay,False,289
Similar,Complementary,Complementary,"Daha çok öğrendim, zorlayıcıydı ama faydalı",Orta,True,290
Similar,Complementary,Similar,"Rahat hissettim, seviyeme uygundu",Zor,True,291
Complementary,Similar,Similar,"Rahat hissettim, seviyeme uygundu",Orta,True,292
Complementary,Similar,İkisi de uygun,Her ikisinin de avantajları vardı,Zor,True,293
Complementary,Similar,Similar,"Rahat hissettim, seviyeme uygundu",Kolay,True,294
Similar,Complementary,,,Zor,False,295
Complementary,Similar,Similar,"Rahat hissettim, seviyeme uygundu",Zor,True,296
Complementary,Similar,Complementary,"Daha çok öğrendim, zorlayıcıydı ama faydalı",Çok Zor,True,297
Similar,Complementary,Complementary,"Daha çok öğrendim, zorlayıcıydı ama faydalı",Zor,True,298
Complementary,Similar,Complementary,"Daha çok öğrendim, zorlayıcıydı ama faydalı",Orta,True,299
Similar,Complementary,Similar,"Rahat hissettim, seviyeme uygundu",Orta,True,300
Similar,Complementary,,,Zor,False,301
Similar,Complementary,Similar,"Rahat hissettim, seviyeme uygundu",Kolay,True,302
Similar,Complementary,Similar,"Rahat hissettim, seviyeme uygundu",Kolay,True,303
Complementary,Similar,Similar,"Rahat hissettim, seviyeme uygundu",Zor,True,304
Complementary,Similar,İkisi de uygun,Her ikisinin de avantajları vardı,Zor,True,305
Complementary,Similar,Complementary,"Daha çok öğrendim, zorlayıcıydı ama faydalı",Çok Kolay,True,306
Similar,Complementary,,,Zor,False,307
Complementary,Similar,Complementary,"Daha çok öğrendim, zorlayıcıydı ama faydalı",Orta,True,308
Similar,Complementary,Similar,"Rahat hissettim, seviyeme uygundu",Çok Kolay,True,309
Similar,Complementary,Similar,"Rahat hissettim, seviyeme uygundu",Orta,True,310
Complementary,Similar,Complementary,"Daha çok öğrendim, zorlayıcıydı ama faydalı",Orta,True,311
Complementary,Similar,İkisi de uygun,Her ikisinin de avantajları vardı,Kolay,True,312
Complementary,Similar,,,Kolay,False,313
Similar,Complementary,Similar,"Rahat hissettim, seviyeme uygundu",Kolay,True,314
Similar,Complementary,İkisi de uygun,Her ikisinin de avantajları vardı,Çok Kolay,True,315
Complementary,Similar,Complementary,"Daha çok öğrendim, zorlayıcıydı ama faydalı",Çok Kolay,True,316
Complementary,Similar,Complementary,"Daha çok öğrendim, zorlayıcıydı ama faydalı",Orta,True,317
Similar,Complementary,İkisi de uygun,Her ikisinin de avantajları vardı,Zor,True,318
Complementary,Similar,,,Orta,False,319
Complementary,Similar,Similar,"Rahat hissettim, seviyeme uygundu",Kolay,True,320
Similar,Complementary,Complementary,"Daha çok öğrendim, zorlayıcıydı ama faydalı",Kolay,True,321
Complementary,Similar,Similar,"Rahat hissettim, seviyeme uygundu",Zor,True,322
Similar,Complementary,İkisi de uygun,Her ikisinin de avantajları vardı,Kolay,True,323
Similar,Complementary,Complementary,"Daha çok öğrendim, zorlayıcıydı ama faydalı",Orta,True,324
Complementary,Similar,,,Zor,False,325
Similar,Complementary,İkisi de uygun,Her ikisinin de avantajları vardı,Orta,True,326
Similar,Complementary,Similar,"Rahat hissettim, seviyeme uygundu",Kolay,True,327
Complementary,Similar,Complementary,"Daha çok öğrendim, zorlayıcıydı ama faydalı",Kolay,True,328
Complementary,Similar,Complementary,"Daha çok öğrendim, zorlayıcıydı ama faydalı",Orta,True,329
Similar,Complementary,İkisi de uygun,Her ikisinin de avantajları vardı,Kolay,True,330
Similar,Complementary,,,Orta,False,331
Complementary,Similar,İkisi de uygun,Her ikisinin de avantajları vardı,Orta,True,332
Complementary,Similar,Similar,"Rahat hissettim, seviyeme uygundu",Orta,True,333
Similar,Complementary,İkisi de uygun,Her ikisinin de avantajları vardı,Orta,True,334
Complementary,Similar,Similar,"Rahat hissettim, seviyeme uygundu",Kolay,True,335
Similar,Complementary,Similar,"Rahat hissettim, seviyeme uygundu",Kolay,True,336
Similar,Complementary,,,Orta,False,337
Similar,Complementary,Similar,"Rahat hissettim, seviyeme uygundu",Orta,True,338
Complementary,Similar,Similar,"Rahat hissettim, seviyeme uygundu",Orta,True,339
Complementary,Similar,İkisi de uygun,Her ikisinin de avantajları vardı,Zor,True,340
Similar,Complementary,Similar,"Rahat hissettim, seviyeme uygundu",Zor,True,341
